strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
16228_1#71.contigs_velvet	Klebsiella pneumoniae	strong	74	253093	534450	5869136	yes (4002)	ambiguous_bases	ST14	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.97%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
16228_1#72.contigs_velvet	Klebsiella pneumoniae	strong	44	407611	1160644	5463963	yes (4028)	ambiguous_bases	ST276-2LV	0	-	0	-	0	-	0	-	0	-	0	-	-	KL43	-	Good	97.17%	KL43_15_wcpZ	O2v2	O2	none	Very high	98.45%		ST276-2LV	2	1	1	26	1	4	87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#73.contigs_velvet	Klebsiella pneumoniae	strong	112	368469	1153967	5561367	yes (5098)	ambiguous_bases	ST101	0	-	0	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.99%		O1v1	O1	none	Very high	98.02%		ST101	2	6	1	5	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#74.contigs_velvet	Klebsiella pneumoniae	strong	55	337278	584650	5589840	yes (12730)	ambiguous_bases	ST15	1	ybt 10; ICEKp4	28	-	0	-	0	-	0	-	0	-	wzi24	KL24	?-	Good	100.00%	KL24_13_wcuG	O1v1	O1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	16	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#75.contigs_velvet	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	83	608990	1573860	5671159	yes (7531)	ambiguous_bases	ST334-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi337	KL103	*	Very high	96.09%		O5	O5	*	High	94.67%		ST334-1LV	18	22	18	22	25*	37	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#76.contigs_velvet	Klebsiella pneumoniae	strong	118	114482	266242	5474345	yes (4047)	ambiguous_bases	ST1916	0	-	0	-	0	-	0	-	0	-	0	-	wzi27	KL27	none	Very high	99.95%		O1v1	O1	none	Very high	98.54%		ST1916	4	77	13	3	4	27	25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#77.contigs_velvet	Klebsiella pneumoniae	strong	61	320117	540626	5687055	yes (7606)	ambiguous_bases	ST268	5	ybt 17; ICEKp10	234-3LV	clb 3	13-1LV	iuc 1	1-1LV	iro 1	1	rmp 1; KpVP-1 (incomplete)	26-1LV	rmpA2_2*-47%	wzi95	KL20	none	Very high	99.95%		O2v1	O2	none	Very high	98.97%		ST268	2	1	2	1	7	1	81	6	15	25	4	11	28*	200*	16*	14	4	2	2	10	2	2	2	2	2*	3	2	2	2	2	2	2	2	1	1	1*	1	1	1	1	1	1	-	2	2	clbK_11*-59%
16228_1#78.contigs_velvet	Klebsiella pneumoniae	strong	146	463273	688724	5542232	yes (3669)	ambiguous_bases	ST101	0	-	0	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.99%		O1v1	O1	none	Very high	98.02%		ST101	2	6	1	5	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#79.contigs_velvet	Klebsiella pneumoniae	strong	106	372167	802134	5815543	yes (7226)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#7.contigs_velvet	Klebsiella pneumoniae	strong	64	410144	1245943	5469129	yes (7174)	ambiguous_bases	ST111-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi63	KL63	none	Very high	99.36%		O1v2	O1	none	Very high	99.28%		ST111-1LV	2	1	5	1	17*	4	42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#80.contigs_velvet	Klebsiella pneumoniae	strong	123	188592	568606	5844814	yes (7104)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#81.contigs_velvet	Klebsiella pneumoniae	strong	51	350489	767271	5549172	yes (9514)	ambiguous_bases	ST48	1	ybt 14; ICEKp5?	131-5LV	-	0	-	0	-	0	-	0	-	wzi62	KL62	?-	Good	99.72%	KL62_12	O1v1	O1	none	Very high	97.87%		ST48	2	5	2	2	7	1	10	4	4	5	4	1	27	184*	2*	4	4*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#82.contigs_velvet	Klebsiella pneumoniae	strong	67	269920	783555	5435740	yes (3984)	ambiguous_bases	ST20	0	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL24	-	High	99.96%	KL24_13_wcuG	O1v1	O1	none	Very high	98.40%		ST20	2	3	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#83.contigs_velvet	Klebsiella pneumoniae	strong	76	226058	381279	5597331	yes (7608)	ambiguous_bases	ST218-1LV	3	-	0	-	0	iuc 1	1-1LV	iro 1	1-1LV	rmp 1; KpVP-1 (incomplete)	26-1LV	rmpA2_8*-60%	wzi77	KL57	none	Very high	98.78%		O2v2	O2	none	Very high	98.67%		ST218-1LV	2	3	1	1	9*	4	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1*	1	1	24	1	1	-	2	2	-
16228_1#84.contigs_velvet	Klebsiella pneumoniae	strong	140	174183	553751	5759202	yes (6279)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi16	KL16	none	Very high	99.41%		O1v1	O1	none	Very high	98.55%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#85.contigs_velvet	Klebsiella pneumoniae	strong	75	275484	847867	5538550	yes (7490)	ambiguous_bases	ST896	1	ybt 14; ICEKp5	135-5LV	-	0	-	0	-	0	-	0	-	wzi59	KL3	none	Very high	99.61%		O2v2	O2	none	Very high	98.42%		ST896	2	9	2	1	13	1	38	6	4	21*	4	1	131*	147*	2	12*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#8.contigs_velvet	Klebsiella pneumoniae	strong	57	272986	716440	5538236	yes (5085)	ambiguous_bases	ST372	0	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	none	Very high	99.78%		O2v1	O2	none	Very high	98.75%		ST372	2	1	2	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#9.contigs_velvet	Klebsiella pneumoniae	strong	26	420628	1664798	5206046	yes (4454)	ambiguous_bases	ST18	0	-	0	-	0	-	0	-	0	-	0	-	wzi82	KL23	none	Very high	99.94%		O2v2	O2	none	Very high	98.44%		ST18	2	1	1	1	4	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22036_8#82.contigs_velvet	Klebsiella pneumoniae	strong	74	201032	388871	5609341	yes (38)	ambiguous_bases	ST218	3	-	0	-	0	iuc 1	1-1LV	iro 1	1-1LV	rmp 1; KpVP-1	26	rmpA2_8*-60%	wzi77	KL57	none	Very high	98.78%		O2v2	O2	none	Very high	98.67%		ST218	2	3	1	1	9	4	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1*	1	1	24	1	1	2	2	2	-
22072_1#100.contigs_velvet	Klebsiella pneumoniae	weak	1224	46904	927485	13884212	yes (556119)	total_size,ambiguous_bases	ST276-4LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	?-+*	None	99.55%	KL15_03_wzi,KL15_06_wzc,KL15_10_wcsR,KL15_11_wcaN,KL15_12_wzy,KL15_14_wzx	O4	O4	?-	Low	99.65%	O4_01_hydrolase,O4_02_hypothetical,O4_03_hypothetical	ST276-4LV	141*	118	1*	1	1	181*	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#101.contigs_velvet	Klebsiella pneumoniae	strong	47	335838	738105	5546062	yes (1567)	ambiguous_bases	ST372	0	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	none	Very high	99.78%		O2v1	O2	none	Very high	98.75%		ST372	2	1	2	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#102.contigs_velvet	Klebsiella pneumoniae	strong	51	341694	716671	5546896	yes (397)	ambiguous_bases	ST372	0	-	0	-	0	-	0	-	0	-	0	-	wzi43	KL43	none	Very high	99.78%		O2v1	O2	none	Very high	98.75%		ST372	2	1	2	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#103.contigs_velvet	Klebsiella pneumoniae	strong	70	209486	390634	5588876	yes (74)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#104.contigs_velvet	Klebsiella pneumoniae	strong	98	199138	712712	5719701	yes (772)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi16	KL16	?-	Good	99.41%	KL16_17_wcaJ	O1v1	O1	none	Very high	98.55%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#105.contigs_velvet	Klebsiella pneumoniae	strong	70	209643	619445	5593787	yes (547)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#106.contigs_velvet	Klebsiella pneumoniae	strong	114	118063	530053	5733325	yes (720)	ambiguous_bases	ST702-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi342	KL109	none	Very high	99.11%		O2v2	O2	none	Very high	98.44%		ST702-1LV	2	1	2	1	7	4	480	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#107.contigs_velvet	Klebsiella pneumoniae	strong	70	270618	448948	5595058	yes (519)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#108.contigs_velvet	Klebsiella oxytoca	strong	38	504899	671481	5764890	yes (1222)	ambiguous_bases	NA	1	ybt unknown	0	-	0	-	0	-	0	-	0	-	-	KL68	?+*	Low	85.79%		O5	O5	*	High	81.65%		NA	-	-	-	-	-	-	-	2*	25*	64*	71*	42*	161*	223*	39*	14*-0%	37*-0%	84*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#110.contigs_velvet	Klebsiella pneumoniae	strong	112	244288	390617	5626094	yes (3672)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#111.contigs_velvet	Klebsiella pneumoniae	strong	69	244140	448257	5588916	yes (34)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#112.contigs_velvet	Klebsiella pneumoniae	strong	70	270003	390605	5587477	yes (52)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#113.contigs_velvet	Klebsiella pneumoniae	strong	117	179565	496713	5764061	yes (1241)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi16	KL16	none	Very high	99.41%		O1v1	O1	none	Very high	98.55%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#114.contigs_velvet	Klebsiella pneumoniae	strong	67	269550	447932	5589426	yes (686)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#115.contigs_velvet	unknown		5	2408	2408	4139	no	N50	NA	0	-	0	-	0	-	0	-	0	-	0	-	-	KL156-D1	-	None	0.00%	KL156-D1_01_galF,KL156-D1_02_rmlB,KL156-D1_03_rmlD,KL156-D1_04_rmlA,KL156-D1_05_rmlC,KL156-D1_06_wzx,KL156-D1_07,KL156-D1_08_wfgD,KL156-D1_09_wzy,KL156-D1_10,KL156-D1_11_arnC,KL156-D1_12,KL156-D1_13,KL156-D1_14,KL156-D1_15,KL156-D1_16_gnd,KL156-D1_17_ugd	OL103	OL103	-	None	0.00%	OL103_01_rmlC,OL103_02_wzm,OL103_03_wzt,OL103_04_hydrolase,OL103_05_spsA,OL103_06_wbbL	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#117.contigs_velvet	Klebsiella pneumoniae	strong	112	161556	654408	5763940	yes (1886)	ambiguous_bases	ST985-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi39	KL39	?-	Good	99.53%	KL39_09_mshA,KL39_14	O1v2	O1	none	Very high	99.40%		ST985-1LV	10*	3	2	2	6	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#118.contigs_velvet	Klebsiella pneumoniae	strong	601	23695	75484	5658874	yes (32437)	ambiguous_bases	ST391	1	ybt 14; ICEKp5	135-6LV	-	0	-	0	-	0	-	0	-	wzi554	KL107	?-*	None	89.36%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O2v1	O2	?-	None	97.71%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST391	10	5	1	4	6	4	4	6	4	21*	4*	1	131*-2%	147*	2	12*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#119.contigs_velvet	Klebsiella pneumoniae	strong	70	241052	391838	5587834	yes (736)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.75%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#120.contigs_velvet	Klebsiella pneumoniae	strong	78	209502	390633	5590023	yes (2)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.75%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#121.contigs_velvet	Klebsiella pneumoniae	strong	70	241169	447925	5587888	yes (21)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	?-	Good	99.75%	KL15_10_wcsR	O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#122.contigs_velvet	Klebsiella pneumoniae	strong	68	270124	588494	5592177	yes (584)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.75%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#123.contigs_velvet	Klebsiella pneumoniae	strong	70	270426	390556	5629033	yes (879)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.75%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#124.contigs_velvet	Klebsiella variicola subsp. variicola	strong	28	707853	1325663	5545761	yes (88)	ambiguous_bases	ST1208-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi251	KL16	?-*	Good	97.29%	KL16_20_manC	O3/O3a	O3/O3a	?-	Good	99.18%	O3/O3a_01_manC	ST1208-1LV	16	18	21	27	47	40	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#125.contigs_velvet	Klebsiella pneumoniae	strong	69	241126	720297	5635160	yes (90)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.75%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#126.contigs_velvet	Klebsiella pneumoniae	strong	85	876430	2193388	5837533	yes (3905)	ambiguous_bases	ST391	1	ybt 14; ICEKp5	135-6LV	-	0	-	0	-	0	-	0	-	wzi554	KL30	*	Very high	96.45%		O1v2	O1	none	Very high	99.47%		ST391	10	5	1	4	6	4	4	6	4	21*	4*	1	131*	147*	2	12*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#127.contigs_velvet	Klebsiella pneumoniae	strong	103	741120	1446360	5821731	yes (1586)	ambiguous_bases	ST391	1	ybt 14; ICEKp5	135-6LV	-	0	-	0	-	0	-	0	-	wzi554	KL30	?-+*	Good	96.50%	KL30_09_wcuD,KL30_10_wzy,KL30_15_wcuG	O1v2	O1	none	Very high	99.47%		ST391	10	5	1	4	6	4	4	6	4	21*	4*	1	131*	147*	2	12*	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#128.contigs_velvet	Klebsiella pneumoniae	strong	25	399378	1102810	5170742	yes (389)	ambiguous_bases	ST2439	0	-	0	-	0	-	0	-	0	-	0	-	wzi40	KL3	none	Very high	99.96%		O1v1	O1	none	Very high	98.66%		ST2439	2	5	2	1	26	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#129.contigs_velvet	Klebsiella pneumoniae	strong	67	209507	390619	5639583	yes (446)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.75%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#130.contigs_velvet	Klebsiella pneumoniae	strong	76	301732	827222	5810899	yes (3268)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	Good	99.74%	KL2_07,KL2_10,KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#131.contigs_velvet	Klebsiella pneumoniae	strong	259	61574	257654	5776951	yes (9434)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	?-	None	99.69%	KL2_06_wzc,KL2_07,KL2_08,KL2_09,KL2_10,KL2_11_wzx,KL2_12,KL2_13,KL2_14_wcaJ	O1/O2v1	unknown	?-	None	99.79%	O1/O2v1_01_wzm,O1/O2v1_03_wbbM,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#132.contigs_velvet	Klebsiella pneumoniae	strong	78	351333	897882	5828585	yes (1383)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	-	High	99.75%	KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#134.contigs_velvet	Klebsiella pneumoniae	strong	73	345719	575158	5814635	yes (1627)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	-	High	99.75%	KL2_13	O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#135.contigs_velvet	Klebsiella pneumoniae	strong	45	514666	932372	5492566	yes (2)	ambiguous_bases	ST17	0	-	0	-	0	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.16%	KL25_09_wfeD	O5	O5	*	High	94.20%		ST17	2	1	1	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#136.contigs_velvet	Klebsiella pneumoniae	strong	121	204287	467886	5750396	yes (1224)	ambiguous_bases	ST2793	0	-	0	-	0	-	0	-	0	-	0	-	wzi306	KL55	?*	Good	95.69%		O2v2	O2	none	Very high	98.43%		ST2793	2	1	1	1	1	1	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#137.contigs_velvet	Klebsiella pneumoniae	strong	46	370920	723678	5565996	yes (10)	ambiguous_bases	ST17	1	ybt 16; ICEKp12	277	-	0	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.16%	KL25_09_wfeD	O5	O5	*	High	94.21%		ST17	2	1	1	1	4	4	4	6	15	5	4	11	33	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22072_1#138.contigs_velvet	Klebsiella pneumoniae	strong	92	353435	696034	5598634	yes (840)	ambiguous_bases	ST36	0	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	100.00%		O2v2	O2	none	Very high	98.42%		ST36	2	1	2	1	7	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
