Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp	NGA50
34154_7_269.contigs_spades	46	43	35	31	28	22	5549334	5547739	5530501	5498602	5441618	5249006	46	755317	5549334	5682322	57.16	57.12	371971	371971	146198	146198	5	5	12	12	9.42	-
34154_7_26.contigs_spades	50	45	36	32	27	23	5644457	5641961	5614903	5582837	5518410	5390256	48	705761	5643699	5682322	56.97	57.12	292152	292152	199894	188540	7	7	12	13	5.62	-
34154_7_270.contigs_spades	101	89	69	60	41	28	5162604	5155227	5107498	5045143	4745358	4270952	97	436134	5161093	5682322	50.70	57.12	146417	135175	77500	50906	10	12	23	28	8.12	-
34154_7_271.contigs_spades	53	45	36	31	25	17	5553445	5549619	5520695	5481239	5384744	5130772	48	853875	5551551	5682322	57.15	57.12	448219	448219	276054	276054	5	5	9	9	1.42	-
34154_7_274.contigs_spades	46	41	30	27	24	20	5492820	5489222	5449228	5425100	5363702	5223186	45	636581	5492402	5682322	57.24	57.12	356539	356539	191058	191058	6	6	11	11	11.73	-
34154_7_275.contigs_spades	46	39	35	29	22	15	5040023	5035455	5026099	4986845	4876694	4621380	44	920554	5039197	5682322	50.61	57.12	353764	334179	196349	125986	5	6	9	12	10.58	-
34154_7_276.contigs_spades	25	22	18	17	14	13	5545210	5543115	5531285	5523000	5469010	5437309	25	1744283	5545210	5682322	57.07	57.12	609308	609308	375140	308731	3	3	6	7	1.59	-
34154_7_277.contigs_spades	45	39	31	28	26	19	5427892	5424533	5401834	5378218	5334797	5100149	44	854611	5427580	5682322	57.41	57.12	351289	351289	208107	135990	5	5	10	11	10.96	-
34154_7_279.contigs_spades	39	34	24	20	16	15	5411797	5409662	5371362	5346337	5271048	5244482	36	1302975	5410792	5682322	57.38	57.12	510163	510163	398920	272627	4	4	7	8	9.20	-
34154_7_27.contigs_spades	232	61	31	27	22	19	5628992	5548488	5487667	5460808	5361094	5252954	121	943443	5588765	5682322	57.17	57.12	372362	372362	198745	198745	5	5	10	10	34.12	-
34154_7_280.contigs_spades	90	80	64	60	42	26	4475341	4470284	4412172	4381914	4070496	3516480	86	351617	4473783	5682322	50.85	57.12	131362	109853	64273	14971	12	17	24	52	6.19	-
34154_7_281.contigs_spades	50	41	29	26	22	18	5489749	5484079	5445060	5423322	5351543	5211164	48	623226	5488822	5682322	57.24	57.12	393764	393764	208609	191058	6	6	10	11	11.31	-
34154_7_282.contigs_spades	60	53	40	33	28	20	4893659	4889423	4857764	4813311	4720025	4408170	58	446854	4892926	5682322	50.60	57.12	313941	265564	123959	91928	7	9	13	19	28.37	-
34154_7_283.contigs_spades	43	39	31	28	23	19	5532461	5530455	5505325	5485061	5413673	5294992	41	715272	5531659	5682322	57.12	57.12	362707	362707	226536	226536	6	6	11	11	15.22	-
34154_7_285.contigs_spades	1611	287	64	56	43	30	6315783	5725218	5341744	5286621	5065233	4620412	684	422419	6003406	5682322	57.41	57.12	148619	152024	54209	76896	13	12	28	24	70.21	-
34154_7_287.contigs_spades	111	96	80	63	45	30	5471800	5462450	5414652	5292378	4977597	4470153	108	532354	5470642	5682322	57.27	57.12	164351	154980	67229	58600	12	13	24	27	12.38	-
34154_7_288.contigs_spades	40	33	28	25	21	15	4786907	4782340	4765406	4747778	4688647	4477902	38	1017738	4786196	5682322	50.82	57.12	699296	219866	201921	119864	3	5	9	13	21.58	-
34154_7_289.contigs_spades	34	31	26	22	18	16	5462264	5460593	5443551	5417016	5346539	5285805	34	991694	5462264	5682322	57.28	57.12	510807	510807	226344	226344	4	4	8	8	1.32	-
34154_7_290.contigs_spades	96	89	70	59	45	32	4939453	4935463	4887163	4812636	4587690	4106997	93	360583	4938368	5682322	50.71	57.12	154276	112004	65323	41604	12	15	26	36	7.94	-
34154_7_291.contigs_spades	32	27	24	23	20	17	5572628	5569856	5563142	5557095	5514864	5405838	31	1356876	5572227	5682322	57.17	57.12	365644	365644	284805	282563	5	5	9	10	23.08	-
34154_7_294.contigs_spades	32	26	20	16	13	10	5341242	5338153	5315711	5289618	5242443	5143878	29	2259385	5340139	5682322	57.42	57.12	915814	915814	431496	263516	2	2	4	5	18.74	-
34154_7_295.contigs_spades	63	58	46	40	33	28	5473235	5470289	5439061	5402680	5287254	5094657	61	665393	5472372	5682322	50.32	57.12	205584	205566	130556	128843	9	10	17	18	13.36	-
34154_7_296.contigs_spades	44	40	34	31	27	22	5751278	5749151	5728958	5706634	5626728	5451949	42	611223	5750656	5682322	56.96	57.12	280593	326635	205535	205535	8	7	13	13	6.03	-
34154_7_297.contigs_spades	77	67	53	45	35	29	5472401	5465727	5425070	5373866	5202366	4969811	75	408030	5471595	5682322	50.32	57.12	183312	183312	121028	115195	11	11	19	21	13.01	-
34154_7_298.contigs_spades	81	79	58	53	35	26	5171898	5171100	5113526	5077954	4775401	4450695	79	425698	5171100	5682322	57.58	57.12	189067	170780	99048	61681	10	11	18	23	4.20	-
34154_7_299.contigs_spades	75	70	55	49	40	32	5652761	5650280	5612307	5570284	5427114	5157764	73	365516	5651876	5682322	57.07	57.12	184552	184552	117625	115587	11	11	20	21	0.00	-
34154_7_2.contigs_spades	1	1	0	0	0	0	4087	4087	0	0	0	0	1	4087	4087	5682322	44.02	57.12	4087	-	4087	-	1	-	1	-	0.00	-
34154_7_302.contigs_spades	271	111	92	77	54	31	4946278	4877657	4819645	4705973	4313354	3490331	153	406780	4904575	5682322	50.77	57.12	97631	80776	42351	26137	17	21	36	53	3.38	-
34154_7_303.contigs_spades	41	29	21	18	14	12	5572002	5565413	5542965	5520256	5463931	5401824	36	1876706	5570054	5682322	57.07	57.12	969325	969325	402624	376632	2	2	5	6	1.49	-
34154_7_304.contigs_spades	25	20	16	14	13	11	5413688	5411357	5397879	5382555	5359651	5297644	22	1869788	5412544	5682322	57.22	57.12	1004795	1004795	489877	396404	2	2	4	5	0.00	-
34154_7_306.contigs_spades	44	41	35	31	24	20	5548369	5546686	5531921	5503522	5405653	5273178	43	801366	5547896	5682322	57.05	57.12	358237	358237	205174	205174	6	6	11	11	12.98	-
34154_7_307.contigs_spades	85	77	61	52	43	31	5680843	5676689	5635560	5567595	5416474	4937295	82	365691	5679600	5682322	56.98	57.12	186567	186567	94032	94032	11	11	21	21	5.76	-
34154_7_30.contigs_spades	30	25	20	19	18	16	5572971	5569977	5555347	5549296	5528279	5470027	29	1120356	5572570	5682322	57.17	57.12	377741	377741	350230	325363	5	5	8	9	23.56	-
34154_7_312.contigs_spades	26	19	18	18	17	14	5215580	5211439	5206782	5206782	5191639	5089515	25	827075	5215214	5682322	57.58	57.12	632067	472147	352817	240822	4	5	7	8	10.87	-
34154_7_313.contigs_spades	79	69	57	48	37	28	5608065	5603532	5573161	5510799	5339418	5019221	72	883704	5605462	5682322	57.01	57.12	180607	180607	111644	111644	8	8	19	19	0.27	-
34154_7_316.contigs_spades	46	35	26	22	19	14	5471545	5465566	5441236	5413482	5353563	5178752	42	1375042	5469868	5682322	57.33	57.12	497931	479313	330503	330503	3	4	7	7	26.07	-
34154_7_317.contigs_spades	33	31	28	26	21	18	5471059	5470019	5460548	5445898	5353275	5244683	33	1110506	5471059	5682322	57.25	57.12	375860	375860	188072	172117	4	4	9	10	1.35	-
34154_7_318.contigs_spades	57	52	40	38	32	24	5476303	5473845	5439782	5425133	5318929	5038956	54	683500	5475074	5682322	57.37	57.12	280266	280266	142626	134584	8	8	14	15	13.81	-
34154_7_31.contigs_spades	23	19	16	15	13	12	5484782	5481986	5469363	5463445	5425107	5398664	23	1852168	5484782	5682322	57.32	57.12	1042763	1042763	413102	359960	2	2	4	5	24.38	-
34154_7_322.contigs_spades	404	156	30	23	15	10	5656004	5519160	5285670	5242073	5117961	4962707	288	1420103	5613486	5682322	57.04	57.12	532790	532790	361620	342311	3	3	6	7	192.41	-
34154_7_323.contigs_spades	35	31	27	24	19	14	5423516	5421289	5408121	5387039	5310466	5118096	33	1476826	5422763	5682322	57.28	57.12	467932	403529	303970	196950	3	4	7	8	24.19	-
34154_7_324.contigs_spades	47	45	34	30	26	20	5561695	5560308	5526417	5497633	5412721	5223546	46	1107541	5561197	5682322	57.18	57.12	388030	388030	157373	157373	5	5	11	11	11.81	-
34154_7_325.contigs_spades	118	43	34	31	27	21	5650377	5620366	5589679	5570196	5496210	5305400	55	623293	5627574	5682322	57.15	57.12	378141	378141	171881	171881	6	6	11	11	6.81	-
34154_7_32.contigs_spades	33	29	24	21	17	15	5418267	5415928	5403323	5383161	5320194	5253840	32	1615820	5417794	5682322	57.34	57.12	453707	453707	295063	295063	3	3	7	7	16.35	-
34154_7_330.contigs_spades	91	79	69	58	38	25	5400357	5393900	5364063	5288015	4931909	4486687	85	512013	5398069	5682322	57.38	57.12	184786	184510	86624	83837	9	10	20	22	6.39	-
34154_7_331.contigs_spades	39	36	29	24	17	14	5543326	5541466	5522272	5486771	5376282	5282033	38	1011786	5542916	5682322	57.15	57.12	549144	549144	338747	255270	4	4	7	8	12.94	-
34154_7_332.contigs_spades	33	26	21	18	13	11	5490437	5487710	5471481	5450246	5365393	5298944	27	1541656	5488254	5682322	57.28	57.12	1346685	1346685	363517	363517	2	2	5	5	13.32	-
34154_7_333.contigs_spades	56	49	39	31	28	25	5586394	5582535	5553168	5502664	5451523	5355823	53	584370	5585126	5682322	57.08	57.12	326092	326092	143628	143628	7	7	14	14	4.64	-
34154_7_338.contigs_spades	62	60	46	37	34	30	5527717	5526559	5487344	5425761	5390480	5263804	62	446108	5527717	5682322	57.21	57.12	276747	276747	107212	101312	8	8	17	18	6.73	-
34154_7_339.contigs_spades	56	53	43	33	25	20	5419593	5417939	5390511	5316855	5166687	4999468	54	514985	5418875	5682322	57.37	57.12	325458	325458	208729	187945	7	7	12	13	7.62	-
34154_7_33.contigs_spades	254	124	53	41	19	15	6108073	6050330	5870999	5784732	5422426	5304666	158	986296	6073779	5682322	56.49	57.12	579186	579186	172110	217279	4	4	9	8	100.38	-
34154_7_340.contigs_spades	63	54	37	31	27	19	5712828	5708686	5658557	5615738	5542558	5222864	57	943634	5710365	5682322	57.05	57.12	472254	472254	165204	165204	4	4	10	10	18.49	-
34154_7_343.contigs_spades	45	41	36	32	25	21	5736293	5734087	5714743	5679999	5546897	5419917	44	611322	5735887	5682322	56.96	57.12	339454	339454	205536	205536	7	7	13	13	10.30	-
34154_7_344.contigs_spades	48	43	35	33	27	21	5750040	5747851	5724646	5710662	5607857	5397725	45	1403498	5749008	5682322	56.96	57.12	357212	357212	202087	202087	5	5	12	12	5.90	-
34154_7_345.contigs_spades	539	96	62	54	37	26	5400580	5202569	5119598	5060807	4762316	4369929	219	362087	5283269	5682322	57.43	57.12	170780	162474	88933	54719	11	12	20	24	38.57	-
34154_7_348.contigs_spades	23	22	20	20	19	17	5376620	5375652	5369308	5369308	5356164	5295630	23	918568	5376620	5682322	57.32	57.12	407535	407535	349740	349740	5	5	9	9	7.68	-
34154_7_34.contigs_spades	2760	715	125	75	46	30	7939147	6961513	5896691	5553794	5112646	4576348	1456	766999	7500823	5682322	57.15	57.12	87105	125464	8634	68766	19	10	83	25	206.64	-
34154_7_351.contigs_spades	57	39	26	21	16	12	5675925	5664980	5625121	5586380	5488855	5359243	53	1760487	5674170	5682322	57.07	57.12	1106021	1106021	350363	350363	2	2	6	6	7.14	-
34154_7_352.contigs_spades	38	34	28	28	22	18	5444727	5442482	5425843	5425843	5326258	5188151	37	771485	5444385	5682322	57.33	57.12	576128	576128	224956	150640	5	5	9	10	1.67	-
34154_7_353.contigs_spades	43	37	31	28	23	19	5628023	5624928	5609437	5589030	5494044	5344857	41	1149780	5627319	5682322	57.14	57.12	355308	355308	202265	202265	6	6	11	11	18.55	-
34154_7_358.contigs_spades	1	1	1	0	0	0	7430	7430	7430	0	0	0	1	7430	7430	5682322	52.03	57.12	7430	-	7430	-	1	-	1	-	0.00	-
34154_7_359.contigs_spades	40	35	25	22	16	12	5673122	5670622	5642956	5623261	5534570	5408912	38	1989195	5672320	5682322	57.04	57.12	1063606	1063606	387253	387253	2	2	5	5	1.32	-
34154_7_360.contigs_spades	37	26	17	15	12	11	5432763	5427642	5400455	5388077	5329135	5302624	29	1326523	5429872	5682322	57.40	57.12	630096	630096	407114	363920	3	3	6	7	17.57	-
34154_7_361.contigs_spades	52	42	36	31	25	18	5360491	5354564	5338969	5298990	5189794	4961568	47	686793	5358537	5682322	57.14	57.12	361623	361623	194115	163461	6	6	11	12	12.43	-
34154_7_366.contigs_spades	49	43	35	28	22	17	5535991	5532694	5509456	5466358	5368794	5182186	46	942370	5534768	5682322	57.15	57.12	512621	512621	232922	232922	4	4	9	9	4.53	-
34154_7_367.contigs_spades	50	38	32	30	24	21	5421292	5415294	5392872	5377048	5269589	5167377	43	1072090	5418769	5682322	57.30	57.12	289129	289129	150677	133296	6	6	12	13	2.14	-
34154_7_368.contigs_spades	62	51	37	33	26	21	5667125	5660179	5617403	5588798	5487464	5323792	59	732340	5665930	5682322	57.16	57.12	290816	290816	206613	206613	6	6	12	12	12.69	-
34154_7_369.contigs_spades	46	40	32	27	24	20	5517791	5514465	5489047	5455689	5402356	5251426	43	672849	5516532	5682322	57.27	57.12	328154	328154	205825	192351	6	6	11	12	6.38	-
34154_7_36.contigs_spades	41	35	28	24	20	16	5479624	5477113	5454560	5431783	5364174	5231923	37	886427	5478220	5682322	57.27	57.12	454335	424683	293851	266385	4	5	8	9	9.11	-
34154_7_374.contigs_spades	35	33	27	25	22	20	5431453	5430450	5414051	5399205	5342231	5280146	34	711062	5431100	5682322	57.32	57.12	465751	311282	225049	203629	5	6	10	11	0.02	-
34154_7_375.contigs_spades	51	46	38	35	28	23	5548942	5546508	5524858	5499636	5397236	5230532	48	701594	5547611	5682322	57.05	57.12	280704	280704	154615	147215	7	7	13	14	19.47	-
34154_7_376.contigs_spades	29	24	22	21	18	15	5570149	5567327	5562036	5555988	5504443	5406159	28	1356439	5569755	5682322	57.17	57.12	377740	376578	345748	286016	3	4	7	8	18.31	-
34154_7_378.contigs_spades	37	28	24	20	19	17	5589136	5585394	5572101	5546183	5525296	5458528	30	826312	5586553	5682322	57.14	57.12	668781	668781	307614	307614	4	4	7	7	0.02	-
34154_7_379.contigs_spades	27	24	23	23	21	19	5520823	5518727	5514648	5514648	5480609	5414026	27	610154	5520823	5682322	56.98	57.12	371955	371955	241902	237303	6	6	10	11	0.00	-
34154_7_380.contigs_spades	62	53	42	37	30	25	5498434	5493438	5464829	5423332	5308924	5159686	58	691580	5497009	5682322	56.86	57.12	312639	312639	138495	118265	7	7	14	15	11.86	-
34154_7_38.contigs_spades	40	31	25	24	22	19	5322539	5317711	5300010	5291567	5260527	5142852	36	530458	5321083	5682322	57.41	57.12	410104	384898	317203	317203	6	7	10	10	14.06	-
34154_7_39.contigs_spades	38	28	22	17	13	10	5426159	5421275	5402025	5363827	5281472	5172226	31	984614	5423342	5682322	57.41	57.12	758176	758176	568278	568278	4	4	6	6	25.65	-
34154_7_3.contigs_spades	44	38	30	26	22	17	5425603	5421712	5396871	5367642	5323205	5128842	42	1115841	5424682	5682322	57.20	57.12	398104	398104	302587	243149	5	5	8	9	4.46	-
34154_7_40.contigs_spades	69	60	46	39	27	20	5590405	5585210	5546379	5491387	5292613	5056605	67	500034	5589677	5682322	57.20	57.12	320677	320677	214962	214962	8	8	13	13	12.79	-
34154_7_41.contigs_spades	51	39	33	27	17	11	5518731	5513687	5497642	5453734	5300252	5090537	41	1397122	5515206	5682322	57.60	57.12	639936	639936	315737	315737	3	3	6	6	6.13	-
34154_7_42.contigs_spades	48	45	32	27	21	18	5508402	5507317	5475426	5441532	5323215	5233266	45	718148	5507317	5682322	57.34	57.12	424465	375767	217430	217430	5	6	10	10	22.97	-
34154_7_44.contigs_spades	85	79	60	53	38	26	5141525	5138635	5092424	5040391	4785614	4362963	81	517629	5140002	5682322	57.61	57.12	169754	165082	99036	52357	11	12	19	25	0.23	-
34154_7_46.contigs_spades	33	25	17	16	14	11	5491366	5486997	5461874	5454815	5429047	5318700	29	1616314	5489848	5682322	57.26	57.12	1464071	1464071	350354	350354	2	2	5	5	13.75	-
34154_7_47.contigs_spades	41	37	28	25	22	18	5522585	5520184	5494347	5473209	5413780	5268723	39	943575	5521658	5682322	57.27	57.12	472256	465718	215977	215977	4	5	9	9	25.17	-
34154_7_48.contigs_spades	80	74	57	51	36	24	5164426	5161034	5114937	5071789	4818805	4406167	77	461099	5163128	5682322	57.59	57.12	203827	170863	132544	54872	9	11	17	22	0.00	-
34154_7_49.contigs_spades	34	29	21	18	16	13	5470962	5468258	5439994	5413621	5377780	5282440	32	2351802	5470208	5682322	57.33	57.12	1042515	1042515	268503	268503	2	2	5	5	15.67	-
34154_7_4.contigs_spades	23	21	18	15	13	11	5395769	5394731	5385726	5365367	5340194	5279142	22	2151036	5395396	5682322	57.38	57.12	815040	815040	361127	349240	2	2	5	6	10.69	-
34154_7_50.contigs_spades	33	30	24	22	17	14	5357067	5355700	5335426	5324285	5244830	5139141	31	1014285	5356380	5682322	57.41	57.12	471152	471152	293008	293008	4	4	8	8	8.25	-
34154_7_52.contigs_spades	48	43	29	24	17	13	5406241	5403981	5361138	5327828	5231496	5101496	45	1517555	5405143	5682322	57.20	57.12	407840	407840	323898	293762	4	4	7	8	15.47	-
34154_7_54.contigs_spades	34	30	24	24	20	19	5351344	5348669	5331177	5331177	5284480	5249668	33	600683	5350959	5682322	57.41	57.12	358180	342705	305132	230706	6	7	10	11	0.60	-
34154_7_55.contigs_spades	49	43	37	32	28	21	5598315	5594934	5577606	5544773	5482504	5248553	46	1023213	5597126	5682322	57.20	57.12	317618	317618	173391	173391	6	6	12	12	27.78	-
34154_7_56.contigs_spades	149	84	64	55	37	28	5498047	5468321	5405028	5347054	5016330	4687428	103	523983	5481293	5682322	57.16	57.12	193216	176022	92163	86945	10	11	21	22	6.90	-
34154_7_58.contigs_spades	48	33	29	27	24	21	5567040	5560513	5545355	5533169	5480303	5383273	38	927524	5563812	5682322	57.20	57.12	373601	373601	178002	178002	5	5	11	11	4.33	-
34154_7_59.contigs_spades	36	33	26	23	21	18	5516187	5514830	5494959	5468344	5438291	5329200	34	718309	5515375	5682322	57.25	57.12	431290	431290	232270	232270	5	5	9	9	5.57	-
34154_7_5.contigs_spades	32	27	23	20	18	14	5463545	5460787	5447561	5421746	5372982	5220989	30	1806783	5462723	5682322	57.28	57.12	416814	416814	289145	275668	4	4	7	8	15.08	-
34154_7_60.contigs_spades	52	45	33	32	24	21	5421850	5418396	5382120	5373510	5224729	5121214	48	818794	5420433	5682322	57.30	57.12	324706	265168	197441	133400	6	7	12	14	3.38	-
34154_7_61.contigs_spades	1603	631	92	42	21	17	7695725	7220255	6071290	5719818	5420182	5304914	1005	1019721	7492530	5682322	51.82	57.12	319322	359041	12335	203223	8	5	34	10	92.40	-
34154_7_62.contigs_spades	54	46	32	29	23	18	5576217	5571923	5526793	5504375	5424217	5257635	51	731893	5575056	5682322	57.20	57.12	408198	408198	229486	229486	5	5	10	10	17.65	-
34154_7_63.contigs_spades	51	42	34	31	24	21	5421243	5416815	5392083	5367254	5230120	5128168	46	961361	5419442	5682322	57.30	57.12	344926	344926	200743	150640	6	6	11	12	2.01	-
34154_7_66.contigs_spades	3	2	2	1	0	0	19998	19540	19540	14528	0	0	2	14528	19540	5682322	53.35	57.12	14528	-	5012	-	1	-	2	-	0.00	-
34154_7_67.contigs_spades	75	68	52	40	28	19	5690205	5686900	5647840	5553373	5357232	5024758	70	684843	5688219	5682322	57.14	57.12	331263	331263	134584	134584	6	6	12	12	12.01	-
34154_7_68.contigs_spades	63	56	46	43	35	24	5525943	5522835	5495179	5474373	5339027	4961524	58	568314	5524096	5682322	57.66	57.12	204836	204836	124448	120060	8	8	16	17	4.13	-
34154_7_69.contigs_spades	34	29	24	22	19	18	5448325	5445965	5430139	5417079	5359973	5325312	32	1174563	5447636	5682322	57.32	57.12	377614	377614	309213	219015	5	5	9	10	6.00	-
34154_7_6.contigs_spades	35	31	27	24	20	12	5528982	5527297	5515754	5489356	5414863	5166413	32	775629	5527829	5682322	57.19	57.12	578196	578196	437205	382274	5	5	7	8	9.24	-
34154_7_70.contigs_spades	109	90	77	64	47	33	5471730	5460690	5422022	5326154	5037523	4578785	104	532522	5469772	5682322	57.27	57.12	154943	142414	67229	58574	12	13	25	28	12.36	-
34154_7_72.contigs_spades	1	1	1	1	0	0	15894	15894	15894	15894	0	0	1	15894	15894	5682322	55.52	57.12	15894	-	15894	-	1	-	1	-	0.00	-
34154_7_74.contigs_spades	64	62	45	38	36	32	5484446	5483446	5425565	5380909	5346399	5220082	63	390951	5484087	5682322	57.24	57.12	209640	209640	114292	99745	10	10	18	20	12.25	-
34154_7_75.contigs_spades	38	37	31	24	22	19	5575526	5575043	5559228	5513760	5483969	5374349	37	773802	5575043	5682322	57.15	57.12	358303	358303	215778	215778	6	6	11	11	0.61	-
34154_7_76.contigs_spades	40	34	26	25	22	19	5506090	5503581	5476093	5469055	5419945	5321968	35	1348998	5504328	5682322	57.22	57.12	602453	602453	206554	197644	3	3	8	9	0.00	-
34154_7_77.contigs_spades	59	52	44	38	30	25	5425829	5422418	5402988	5350445	5233508	5054110	55	506855	5424374	5682322	57.30	57.12	272185	239958	134152	115896	8	9	15	17	4.39	-
34154_7_78.contigs_spades	63	60	48	41	34	29	5211119	5209744	5169785	5118189	4975795	4784463	61	451233	5210269	5682322	58.02	57.12	188445	186826	120861	82363	10	11	18	22	1.63	-
34154_7_80.contigs_spades	46	39	28	25	21	16	5600062	5596572	5559807	5536072	5461608	5271074	42	1023030	5598472	5682322	57.19	57.12	472259	472259	215033	215033	4	4	8	8	22.15	-
34154_7_82.contigs_spades	59	52	37	31	29	22	4899107	4895644	4858799	4815591	4778363	4519240	55	447375	4897725	5682322	50.57	57.12	258724	257618	117032	87004	8	9	14	19	10.80	-
34154_7_83.contigs_spades	31	29	25	21	18	14	5630612	5629327	5621711	5594966	5535694	5393414	30	1409985	5630220	5682322	57.06	57.12	718728	718728	327645	327645	3	3	7	7	4.51	-
34154_7_84.contigs_spades	57	55	48	41	38	33	5466044	5465048	5441792	5395574	5347627	5172705	56	547051	5465685	5682322	57.28	57.12	169243	169243	99745	96139	10	10	20	22	7.79	-
34154_7_86.contigs_spades	46	43	34	29	22	17	5494035	5492479	5464424	5432328	5306975	5121851	45	1225070	5493575	5682322	57.19	57.12	381605	355647	222692	185499	4	5	9	10	14.74	-
34154_7_87.contigs_spades	39	34	31	28	25	20	5588973	5586674	5580809	5560912	5508619	5347035	36	919998	5587768	5682322	57.14	57.12	403059	403059	203912	203912	5	5	10	10	1.81	-
34154_7_88.contigs_spades	55	48	43	37	32	23	5509474	5505715	5493816	5454647	5380499	5064968	51	549374	5507924	5682322	57.24	57.12	239958	235213	175071	151327	8	9	15	16	7.88	-
34154_7_89.contigs_spades	26	25	19	19	19	16	5305668	5305143	5287578	5287578	5287578	5194615	26	980127	5305668	5682322	57.42	57.12	406592	406592	349590	212112	4	4	7	9	14.72	-
34154_7_8.contigs_spades	93	79	64	58	42	32	5909366	5902777	5862818	5824136	5584633	5261181	83	473639	5905621	5682322	56.25	57.12	241627	241627	94682	98887	9	9	21	19	11.41	-
34154_7_90.contigs_spades	32	30	26	24	20	17	5628133	5627088	5615432	5604606	5539958	5440432	31	1162169	5627741	5682322	57.05	57.12	427666	427666	259140	259140	4	4	8	8	8.58	-
34154_7_91.contigs_spades	36	30	25	23	20	16	5417518	5414314	5399410	5384107	5338720	5207569	34	1280747	5416795	5682322	57.36	57.12	474397	474397	303287	303287	4	4	7	7	1.33	-
34154_7_94.contigs_spades	52	44	34	28	24	19	5557923	5553901	5527258	5481377	5411814	5241237	48	705760	5556497	5682322	57.10	57.12	362711	331077	260511	260511	6	7	11	11	4.28	-
34154_7_95.contigs_spades	43	37	29	28	23	17	5429312	5426134	5399264	5389745	5300285	5081303	40	1026362	5428173	5682322	57.06	57.12	501204	501204	193890	163461	4	4	9	10	4.48	-
34154_7_96.contigs_spades	37	30	27	26	24	18	5323329	5319699	5309005	5300561	5260135	5024758	34	554093	5322214	5682322	57.41	57.12	410121	384898	293989	143995	6	7	10	11	9.11	-
34154_7_97.contigs_spades	28	25	18	15	13	12	5508582	5507517	5482333	5458867	5420485	5394043	25	1342856	5507517	5682322	57.17	57.12	577547	577547	388832	366157	3	3	6	7	17.99	-
34154_7_98.contigs_spades	39	31	25	21	20	15	5449619	5445385	5427571	5395203	5374874	5193842	34	795375	5447747	5682322	57.24	57.12	483580	461304	350520	350520	4	5	8	8	5.64	-
