>VFG037176(gb|YP_001844723) (plc) phospholipase C [Phospholipase C (VF0470)] [Acinetobacter baumannii ACICU]
>VFG002447(gb|YP_111535) (bipD) Type III secretion system needle tip protein BipD [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002448(gb|YP_111536) (bprA) HNS-like regulatory protein [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002449(gb|YP_111537) (bipC) Type III secretion system translocator protein BipC [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002450(gb|YP_111538) (bipB) Type III secretion system translocator protein BipB [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002451(gb|YP_111539) (bicA) chaperone [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002452(gb|YP_111540) (bsaZ) YscU homolog, component of the inner membrane ring [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002453(gb|YP_111541) (bsaY) Type III secretion system protein BsaY [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002454(gb|YP_111542) (bsaX) Type III secretion system protein BsaX [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002455(gb|YP_111543) (spaP) surface presentation of antigens protein SpaP [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002456(gb|YP_111544) (bsaV) Type III secretion system protein BsaV [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002457(gb|YP_111545) (bsaU) Type III secretion system protein BsaU [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002458(gb|YP_111546) (bsaT) Type III secretion system protein BsaT [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002459(gb|YP_111547) (bsaS) ATP synthase  [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002460(gb|YP_111548) (bsaR) Type III secretion system protein BsaR [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002461(gb|YP_111549) (bsaQ) Type III secretion system protein BsaQ [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002462(gb|YP_111550) (bsaP) Type III secretion system gate keeper protein [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002463(gb|YP_111551) (bsaO) Type III secretion system protein BsaO [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002464(gb|YP_111552) (bsaN) AraC family transcriptional regulator, regulates basal T6SS1 expression [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002465(gb|YP_111553) (bsaM) Type III secretion system protein BsaM [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002466(gb|YP_111554) (bsaL) Type III secretion system protein BsaL [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002467(gb|YP_111555) (bsaK) Type III secretion system protein BsaK [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002468(gb|YP_111556) (basJ) Type III secretion system protein BsaJ [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002469(gb|YP_111557) (orgA) Type III secretion system protein [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002470(gb|YP_111558) (orgB) Type III secretion system protein [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002471(gb|YP_111559) (bprP) regulatory protein [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002473(gb|YP_111522) (bopC) Type III secretion system effector BopC [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG002474(gb|YP_111503) (tssB-5) Type VI secretion system protein TssB [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002475(gb|YP_111504) (tssC-5) Type VI secretion system protein TssC [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002476(gb|YP_111505) (tssD-5) hemolysin-coregulated protein Hcp-5 [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002477(gb|YP_111506) (tssE-5) Type VI secretion system protein TssE [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002478(gb|YP_111507) (tssF-5) Type VI secretion system protein TssF [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002479(gb|YP_111508) (tssG-5) Type VI secretion system protein TssG [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002480(gb|YP_111509) (tssH-5/clpV) Clp-type ATPase chaperone protein [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002481(gb|YP_111510) (tssI-5) Type VI secretion system protein VgrG1 [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002482(gb|YP_111511) (tagAB-5) Type VI secretion system associated protein TagAB-5 [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002483(gb|YP_111512) (tagB-5) Type VI secretion system associated protein TagB-5 [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002484(gb|YP_111513) (tagC-5) Type VI secretion system associated protein TagC-5 [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002485(gb|YP_111514) (tagD-5) Type VI secretion system PAAR tip protein [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002486(gb|YP_111515) (tssJ-5) Type VI secretion system protein TssJ [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002487(gb|YP_111516) (tssK-5) Type VI secretion system protein TssK [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002488(gb|YP_111517) (tssL-5) Type VI secretion system protein TssL [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002489(gb|YP_111518) (tssM-5) Type VI secretion system protein TssM [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG002490(gb|YP_106651) (fliL) flagellar basal body protein FliL [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002491(gb|YP_106652) (fliM) flagellar motor switch protein FliM [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002492(gb|YP_106653) (fliN) flagellar motor switch protein FliN [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002493(gb|YP_106654) (fliO) flagellar protein FliO [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002494(gb|YP_106655) (fliP) flagellar biosynthesis protein FliP [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002495(gb|YP_106656) (fliQ) flagellar biosynthesis protein FliQ [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002496(gb|YP_106657) (fliR) flagellar biosynthetic protein FliR [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002497(gb|YP_106853) (fliK) flagellar hook-length control protein FliK [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002498(gb|YP_106854) (fliJ) flagellar protein FliJ [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002499(gb|YP_106855) (fliI) flagellum-specific ATP synthase FliI [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002500(gb|YP_106856) (fliH) flagellar assembly protein H [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002501(gb|YP_106857) (fliG) flagellar motor switch protein G [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002502(gb|YP_106858) (fliF) flagellar M-ring protein FliF [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002503(gb|YP_106859) (fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002504(gb|YP_106860) (fliS) flagellar protein FliS [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002505(gb|YP_106894) (flgN) flagella synthesis protein FlgN [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002506(gb|YP_106895) (flgM) negative regulator of flagellin synthesis [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002507(gb|YP_106896) (flgA) flagellar basal body P-ring biosynthesis protein FlgA [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002508(gb|YP_106897) (flgB) flagellar basal-body rod protein FlgB [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002509(gb|YP_106898) (flgC) flagellar basal body rod protein FlgC [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002510(gb|YP_106899) (flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002511(gb|YP_106900) (flgE) flagellar hook protein FlgE [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002512(gb|YP_106901) (flgF) flagellar basal body rod protein FlgF [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002513(gb|YP_106902) (flgG) flagellar basal body rod protein FlgG [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002514(gb|YP_106903) (flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002515(gb|YP_106904) (flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002516(gb|YP_106905) (flgJ) flagellar rod assembly protein/muramidase FlgJ [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002517(gb|YP_106907) (flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002518(gb|YP_106908) (flgL) flagellar hook-associated protein 3 FlgL [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002519(gb|YP_109887) (fliA) flagellar biosynthesis sigma factor [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002520(gb|YP_109888) (flhG) flagellar biosynthesis protein FlhG [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002521(gb|YP_109889) (flhF) flagellar biosynthesis regulator FlhF [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002522(gb|YP_109890) (flhA) flagellar biosynthesis protein FlhA [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002523(gb|YP_109891) (flhB) flagellar biosynthesis protein FlhB [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002524(gb|YP_109895) (cheZ) chemotaxis regulator CheZ [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002525(gb|YP_109896) (cheY) chemotaxis protein CheY [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002526(gb|YP_109897) (cheB) chemotaxis-specific methylesterase [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002527(gb|YP_109898) (cheD) chemoreceptor glutamine deamidase CheD [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002528(gb|YP_109899) (cheR) chemotaxis protein methyltransferase [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002529(gb|YP_109900) (tsr) methyl-accepting chemotaxis protein I [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002530(gb|YP_109901) (cheW) chemotaxis protein CheW [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002531(gb|YP_109902) (cheA) chemotaxis two-component sensor kinase CheA [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002532(gb|YP_109903) (cheY1) chemotaxis two-component response regulator CheY1 [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002533(gb|YP_109904) (motB) flagellar motor protein MotB [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002534(gb|YP_109905) (motA) flagellar motor protein MotA [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002535(gb|YP_109915) (fliC) flagellin [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002536(gb|YP_109916) (fliD) flagellar capping protein FliD [Flagella (VF0430)] [Burkholderia pseudomallei K96243]
>VFG002537(gb|YP_110894) (pmlI/bspI1) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002538(gb|YP_110896) (pmlR/bspR1) N-acylhomoserine lactone dependent regulatory protein [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002539(gb|YP_111193) (bspI2) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002540(gb|YP_111189) (bspR2) N-acyl-homoserine lactone dependent regulatory protein [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002541(gb|YP_111576) (bspI3) N-acylhomoserine lactone synthase [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002542(gb|YP_111575) (bspR3) N-acylhomoserine lactone-dependent regulatory protein [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002543(gb|YP_110332) (bspR4) LuxR family transcriptional regulator [Quorum-sensing (VF0433)] [Burkholderia pseudomallei K96243]
>VFG002545(gb|YP_109381) (BPSL2786) acetyltransferase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002546(gb|YP_109382) (wcbT) acyl-CoA transferase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002547(gb|YP_109383) (wcbS) UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002548(gb|YP_109384) (wcbR) capsular polysaccharide biosynthesis fatty acid synthase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002549(gb|YP_109385) (wcbQ) capsular polysaccharide biosynthesis transmembrane protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002550(gb|YP_109386) (wcbP) capsular polysaccharide biosynthesis dehydrogenase/reductase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002551(gb|YP_109387) (wcbO) capsule polysaccharide biosynthesis/export protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002552(gb|YP_109388) (wcbN) D-glycero-d-manno-heptose 1,7-bisphosphate phosphatase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002553(gb|YP_109389) (wcbM) D-glycero-d-manno-heptose 1-phosphate guanosyltransferase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002554(gb|YP_109390) (gmhA) phosphoheptose isomerase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002555(gb|YP_109391) (wcbL) sugar kinase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002556(gb|YP_109392) (wcbK) GDP sugar epimerase/dehydratase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002557(gb|YP_109393) (wcbJ) capsular polysaccharide biosynthesis protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002558(gb|YP_109394) (wcbI) capsular polysaccharide biosynthesis protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002559(gb|YP_109395) (wcbH) glycosyl transferase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002560(gb|YP_109396) (wcbG) capsular polysaccharide biosynthesis protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002561(gb|YP_109397) (wcbF) capsule polysaccharide biosynthesis protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002562(gb|YP_109398) (wcbE) glycosyltransferase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002563(gb|YP_109399) (wzt2) ATP-binding ABC transporter capsular polysaccharide export protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002564(gb|YP_109400) (wzm) capsular polysaccharide export ABC transporter transmembrane protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002565(gb|YP_109401) (wcbD) capsule polysaccharide export ABC transporter transmembrane protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002566(gb|YP_109402) (wcbC) capsular polysaccharide biosynthesis/export protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002567(gb|YP_109403) (wcbB) capsular polysaccharide glycosyltransferase biosynthesis protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002568(gb|YP_109404) (wcbA) capsule polysaccharide export protein [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG002569(gb|YP_109405) (manC) GDP-mannose pyrophosphorylase [Capsule I (VF0436)] [Burkholderia pseudomallei K96243]
>VFG041118(gb|YP_111500) (tssA-5) Type VI secretion system protein TssA [T6SS-1 (VF0429)] [Burkholderia pseudomallei K96243]
>VFG041780(gb|YP_111397) (chbp) Type III secretion system secreted effector CHBP, cyclomodulin Cif homolg [Bsa T3SS (VF0428)] [Burkholderia pseudomallei K96243]
>VFG042964(gb|YP_111602) (pilM) type IV pilus inner membrane platform protein PilM [type IV pili (AI120)] [Burkholderia pseudomallei K96243]
>VFG042965(gb|YP_111606) (pilP) type IV pilus biogenesis protein PilP [type IV pili (AI120)] [Burkholderia pseudomallei K96243]
>VFG042966(gb|YP_111609) (pilL) type IV pilus biosynthesis protein PilL [type IV pili (AI120)] [Burkholderia pseudomallei K96243]
>VFG045467(gb|YP_107884) (cdpA) cyclic di-GMP phosphodiesterase [CdpA (VF0432)] [Burkholderia pseudomallei K96243]
>VFG001890(gb|NP_281264) (flgD) flagellar basal-body rod modification protein FlgD [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001891(gb|NP_281265) (flgE) flagellar hook protein FlgE [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001892(gb|NP_281274) (fliY) flagellar motor switch protein FliY [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001893(gb|NP_281275) (fliM) flagellar motor switch protein FliM [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001894(gb|NP_281276) (fliA) flagellar biosynthesis sigma factor [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001895(gb|NP_281279) (flhF) flagellar biosynthesis regulator FlhF [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001896(gb|NP_281405) (fliI) flagellum-specific ATP synthase FliI [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001897(gb|NP_281509) (fliF) flagellar M-ring protein FliF [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001898(gb|NP_281510) (fliG) flagellar motor switch protein G [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001899(gb|NP_281511) (fliH) flagellar assembly protein H [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001900(gb|NP_281526) (flhB) flagellar biosynthetic protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001901(gb|NP_281527) (motB) flagellar motor protein MotB [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001902(gb|NP_281528) (motA) flagellar motor protein MotA [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001903(gb|NP_281542) (fliN) flagellar motor switch protein FliN [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001905(gb|NP_281710) (fliE) flagellar hook-basal body complex protein FliE [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001906(gb|NP_281711) (flgC) flagellar basal body rod protein FlgC [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001907(gb|NP_281712) (flgB) flagellar basal body rod protein FlgB [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001908(gb|NP_281731) (flaG) a negative regulator of flagellar assembly [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001909(gb|NP_281732) (fliD) flagellar capping protein FliD [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001910(gb|NP_281733) (fliS) flagellar protein FliS [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001911(gb|NP_281859) (flgH) flagellar L-ring protein precursor FlgH [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001912(gb|NP_281869) (flgG2) flagellar basal-body rod protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001913(gb|NP_281870) (flgG) flagellar basal-body rod protein FlgG [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001914(gb|NP_281892) (flaC) a secreted effector flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001915(gb|NP_281981) (fliP) flagellar biosynthesis protein FliP [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001916(gb|NP_282036) (flhA) flagellar biosynthesis protein FlhA [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001917(gb|NP_282040) (flgL) flagellar hook-associated protein FlgL [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001918(gb|NP_282326) (fliR) flagellar biosynthetic protein FliR [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001919(gb|NP_282458) (pseG) UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001920(gb|NP_282459) (pseH) N-acetyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001921(gb|NP_282477) (ptmB) acylneuraminate cytidylyltransferase [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001922(gb|NP_282478) (ptmA) flagellin modification protein A [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001923(gb|NP_282484) (flaB) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001924(gb|NP_282485) (flaA) flagellin [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001925(gb|NP_282549) (fliL) flagellar basal body protein FliL [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001926(gb|NP_282602) (flgI) flagellar P-ring protein precursor FlgI [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001927(gb|NP_282606) (flgK) flagellar hook-associated protein 1 FlgK [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001928(gb|NP_282693) (pflA) paralysed flagellum protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001929(gb|NP_282802) (fliQ) flagellar biosynthesis protein FliQ [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001930(gb|NP_282855) (flgE2) flagellar hook protein [Flagella (VF0114)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001931(gb|NP_282616) (cadF) outer membrane fibronectin-binding protein [CadF (VF0322)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001932(gb|NP_281290) (cdtC) cytolethal distending toxin C [CDT (VF0115)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001933(gb|NP_281291) (cdtB) cytolethal distending toxin B [CDT (VF0115)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001934(gb|NP_281292) (cdtA) cytolethal distending toxin A [CDT (VF0115)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001935(gb|NP_282066) (ciaB) invasion antigen CiaB [CiaB (VF0324)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001936(gb|NP_282283) (Cj1135) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001937(gb|NP_282284) (Cj1136) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001938(gb|NP_282285) (Cj1137c) glycosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001939(gb|NP_282286) (Cj1138) glycosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001940(gb|NP_282287) (wlaN) beta-1,3 galactosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001941(gb|NP_282288) (cstIII) alpha-2,3 sialyltransferas [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001942(gb|NP_282289) (neuB1) sialic acid synthase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001943(gb|NP_282290) (neuC1) UDP-N-acetylglucosamine 2-epimerase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001944(gb|NP_282291) (neuA1) bifunctional beta-1,4-N-acetylgalactosaminyltransferase/CMP-Neu5Ac synthase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001947(gb|NP_282294) (waaV) glucosyltransferase [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001948(gb|NP_282295) (waaF) heptosyltransferase II [LOS (VF0326)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001949(gb|NP_282562) (Cj1421c) sugar transferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001950(gb|NP_282563) (Cj1422c) sugar transferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001951(gb|NP_282564) (Cj1423c) D-glycero-D-manno-heptose 1-phosphate guanosyltransferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001952(gb|NP_282565) (gmhA2) phosphoheptose isomerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001953(gb|NP_282566) (hddA) D-glycero-D-manno-heptose 7-phosphate kinase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001954(gb|NP_282567) (Cj1426c) methyltransferase family protein [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001955(gb|NP_282568) (Cj1427c) sugar-nucleotide epimerase/dehydratease [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001956(gb|NP_282569) (fcl) GDP-L-fucose synthetase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001958(gb|NP_282571) (rfbC) dTDP-4-dehydrorhamnose 3,5-epimerase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001959(gb|NP_282572) (hddC) capsular polysaccharide heptosyltransferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001960(gb|NP_282573) (Cj1432c) sugar transferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001962(gb|NP_282575) (Cj1434c) sugar transferase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
>VFG001963(gb|NP_282576) (Cj1435c) phosphatase [Capsule (VF0323)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
