snp-dists 0.6.2	15966_8#21	15966_8#57	15966_8#86	15966_8#87	15966_8#88	15966_8#89	15966_8#91	15966_8#93	15966_8#95	16228_1#11	16228_1#13	16228_1#14	16228_1#15	16228_1#18	16228_1#19	16228_1#2	16228_1#21	16228_1#23	16228_1#26	16228_1#28	16228_1#29	16228_1#3	16228_1#30	16228_1#31	16228_1#32	16228_1#34	16228_1#36	16228_1#38	16228_1#39	16228_1#4	16228_1#40	16228_1#47	16228_1#5	16228_1#50	16228_1#51	16228_1#52	16228_1#53	16228_1#54	16228_1#55	16228_1#56	16228_1#57	16228_1#58	16228_1#59	16228_1#6	16228_1#61	16228_1#63	16228_1#64	16228_1#65	16228_1#66	16228_1#67	16228_1#68	16228_1#69	16228_1#7	16228_1#70	16228_1#71	16228_1#72	16228_1#73	16228_1#74	16228_1#75	16228_1#76	16228_1#77	16228_1#78	16228_1#79	16228_1#8	16228_1#80	16228_1#81	16228_1#82	16228_1#83	16228_1#84	16228_1#85	16228_1#9	22036_8#82	22072_1#101	22072_1#102	22072_1#103	22072_1#104	22072_1#105	22072_1#106	22072_1#107	22072_1#108	22072_1#110	22072_1#111	22072_1#112	22072_1#113	22072_1#114	22072_1#117	22072_1#119	22072_1#120	22072_1#121	22072_1#122	22072_1#123	22072_1#124	22072_1#125	22072_1#126	22072_1#127	22072_1#128	22072_1#129	22072_1#130	22072_1#131	22072_1#132	22072_1#134	22072_1#135	22072_1#136	22072_1#137	22072_1#138	22072_1#139	22072_1#140	22072_1#142	22072_1#143	22072_1#144	22072_1#145	22072_1#146	22072_1#147	22072_1#148	22072_1#149	22072_1#150	22072_1#151	22072_1#153	22072_1#154	22072_1#155	22072_1#157	22072_1#159	22072_1#160	22072_1#161	22072_1#162	22072_1#163	22072_1#164	22072_1#165	22072_1#166	22072_1#167	22072_1#168	22072_1#169	22072_1#237	22072_1#238	22072_1#239	22072_1#240	22072_1#241	22072_1#243	22072_1#245	22072_1#246	22072_1#247	22072_1#248	22072_1#249	22072_1#250	22072_1#94	22072_1#95	22072_1#96	22072_1#97	22072_1#98	22072_1#99	34154_7#10	34154_7#100	34154_7#102	34154_7#103	34154_7#104	34154_7#105	34154_7#106	34154_7#108	34154_7#11	34154_7#110	34154_7#112	34154_7#116	34154_7#118	34154_7#119	34154_7#12	34154_7#122	34154_7#123	34154_7#125	34154_7#13	34154_7#130	34154_7#131	34154_7#134	34154_7#136	34154_7#138	34154_7#14	34154_7#140	34154_7#142	34154_7#144	34154_7#146	34154_7#148	34154_7#150	34154_7#152	34154_7#153	34154_7#155	34154_7#158	34154_7#16	34154_7#160	34154_7#162	34154_7#164	34154_7#166	34154_7#168	34154_7#172	34154_7#174	34154_7#176	34154_7#178	34154_7#179	34154_7#18	34154_7#183	34154_7#184	34154_7#185	34154_7#189	34154_7#19	34154_7#191	34154_7#194	34154_7#197	34154_7#199	34154_7#20	34154_7#202	34154_7#204	34154_7#205	34154_7#207	34154_7#210	34154_7#212	34154_7#213	34154_7#216	34154_7#218	34154_7#219	34154_7#22	34154_7#221	34154_7#224	34154_7#226	34154_7#227	34154_7#23	34154_7#231	34154_7#232	34154_7#234	34154_7#235	34154_7#239	34154_7#24	34154_7#240	34154_7#242	34154_7#247	34154_7#248	34154_7#249	34154_7#25	34154_7#252	34154_7#254	34154_7#255	34154_7#259	34154_7#26	34154_7#260	34154_7#262	34154_7#263	34154_7#267	34154_7#268	34154_7#269	34154_7#27	34154_7#271	34154_7#274	34154_7#276	34154_7#277	34154_7#279	34154_7#281	34154_7#283	34154_7#287	34154_7#289	34154_7#291	34154_7#294	34154_7#296	34154_7#298	34154_7#299	34154_7#3	34154_7#30	34154_7#303	34154_7#304	34154_7#306	34154_7#307	34154_7#31	34154_7#312	34154_7#313	34154_7#316	34154_7#317	34154_7#318	34154_7#32	34154_7#322	34154_7#323	34154_7#324	34154_7#325	34154_7#33	34154_7#330	34154_7#331	34154_7#332	34154_7#333	34154_7#338	34154_7#339	34154_7#340	34154_7#343	34154_7#344	34154_7#345	34154_7#348	34154_7#351	34154_7#352	34154_7#353	34154_7#359	34154_7#36	34154_7#360	34154_7#361	34154_7#366	34154_7#367	34154_7#368	34154_7#369	34154_7#374	34154_7#375	34154_7#376	34154_7#378	34154_7#379	34154_7#38	34154_7#380	34154_7#39	34154_7#4	34154_7#40	34154_7#41	34154_7#42	34154_7#44	34154_7#46	34154_7#47	34154_7#48	34154_7#49	34154_7#5	34154_7#50	34154_7#52	34154_7#54	34154_7#55	34154_7#56	34154_7#58	34154_7#59	34154_7#6	34154_7#60	34154_7#62	34154_7#63	34154_7#68	34154_7#69	34154_7#70	34154_7#74	34154_7#75	34154_7#76	34154_7#77	34154_7#78	34154_7#8	34154_7#80	34154_7#83	34154_7#84	34154_7#86	34154_7#87	34154_7#88	34154_7#89	34154_7#90	34154_7#91	34154_7#94	34154_7#95	34154_7#96	34154_7#97	34154_7#98	Reference
34154_7#174	334906	329491	290267	269040	706470	360125	320836	325226	381539	816257	333767	272234	352126	293792	312793	287091	344432	284565	348124	349475	376619	332819	348955	268153	356121	328755	346458	294486	285568	654455	317715	288170	281967	362464	276332	361655	338429	834222	402839	320728	371228	124686	288324	371893	299064	348724	273846	306474	314434	323502	324764	262340	321861	320387	330831	372289	362783	315016	778661	348609	274910	364216	348149	304305	359001	294747	255661	338418	329402	298076	247765	329283	316115	319588	295360	343326	298622	390363	300248	3351492	296923	298126	298549	369784	301626	330057	298308	297600	294863	300288	292755	718285	295624	433193	429807	253163	294826	355202	380550	350034	352374	341575	306680	273612	288549	357475	926361	300935	290628	276793	331576	331520	356889	381378	331742	107296	274238	329815	326700	334681	335776	3448871	358773	945086	297937	325755	358299	332585	317196	333699	314925	320673	285036	326570	287629	260239	335184	359917	3180271	710304	365076	284843	316712	704668	360331	362349	300940	304578	343871	317263	292990	313152	279863	330539	246086	354521	334412	357412	347164	808760	357184	285620	338296	310945	281144	336466	313040	309080	329385	264763	307410	326157	265272	265713	299699	264437	308439	14694	308426	316104	338056	315354	736193	320163	317291	296023	316746	275719	324545	300443	316749	329257	0	369563	314737	298725	244111	308647	239255	343431	834821	825061	351340	332651	317597	356286	265885	368539	272293	866622	326915	247370	724691	341317	298862	345617	406986	264364	350998	353081	329755	292388	312278	269711	276617	293352	294707	265831	352444	288459	329575	757941	363205	875738	332890	817308	310110	293171	333160	320235	309320	324704	380257	329206	319007	292104	392771	253087	352644	415986	347924	355808	351111	318582	327684	293566	326149	292401	247118	349548	13567	325073	325981	316686	311549	297534	21774	250932	308446	807033	250675	304315	264246	264717	357236	246942	294074	295083	359942	313846	267091	278337	326602	289508	292135	359107	244937	245359	360945	347502	362797	291949	331022	433476	266918	262955	304152	306560	355366	273519	360383	290886	299004	327342	300369	295264	264916	364139	262520	301336	342972	801941	316694	353354	353635	358996	351233	250376	328432	307701	358935	307216	358195	325310	277695	367045	328612	357178	281590	353477	879179	295794	328800	280984	299339	308281	279558	824019	314103	357505	431832	278483	365523	164824	278458	265036	432004	377275	318676	300879	263865	259304	378290	552875
34154_7#176	375615	321960	270376	335209	772211	361167	187056	332314	364316	922303	323026	282788	361994	334601	174303	330712	294055	330021	340182	353975	472544	317903	339899	343594	366246	346675	336665	233196	329632	764273	349315	237990	280269	364594	296774	372074	364034	923991	427216	329484	345300	300170	330857	370280	329284	339324	272937	356308	323943	353214	358475	370534	307076	330586	321552	364070	365989	348000	931631	388637	273232	364951	338575	340926	339851	308272	350456	372707	329138	253148	310768	367648	340538	340127	282372	331633	278556	391707	276567	3415211	280049	280682	280497	361478	279556	329540	280212	280189	285848	280344	281167	829584	277972	351084	348017	296122	283805	329865	364584	327895	331631	376370	259748	319543	293402	329514	970506	282959	270916	291561	326450	188892	343251	361177	349931	350780	272214	244704	244124	342124	246906	3504078	381243	1014835	282288	297024	353109	342706	342027	345842	279171	290636	343823	244663	281821	320653	370289	346456	3263668	752384	355722	282401	291445	789300	334037	335953	278799	352147	328405	336800	279954	156809	283250	365848	324614	446086	325080	322763	392149	911089	331211	277005	329949	337703	280951	323855	318598	329811	335121	335665	296548	317040	335612	336339	302626	343010	150063	369044	328919	241110	269254	264154	849967	317085	305849	281829	337536	293803	347312	301804	292775	332212	369563	0	264252	328496	331688	393500	278876	340165	938288	928437	448993	337794	331506	430928	334064	409421	322156	989885	349094	344231	821528	331531	282422	178292	342807	334390	448460	332009	365599	232124	315886	290271	294356	232974	295217	335308	293801	287577	347785	859227	325056	999606	319496	920785	325517	232344	352683	338304	329765	347713	222040	365777	339275	231125	319439	319856	356912	346281	335850	329901	356671	339119	410516	233138	336298	285079	333383	448550	367286	333554	334923	328946	324755	295606	375976	317872	329193	848692	317465	248753	334688	264874	280738	294712	232127	233078	255239	369095	329073	334090	348768	290103	279886	324569	332469	331327	450826	391788	340916	232178	335030	352620	265881	331844	307177	307398	334355	332430	324661	231194	294777	336069	151175	235739	331081	449484	330914	283805	340192	944653	266682	449445	333936	323520	447825	318639	320299	170537	349906	172042	322141	280602	236368	324284	364494	333769	340515	333115	994990	235065	410757	281181	151626	295965	347338	941296	345209	322966	351108	279740	347682	340167	346502	241903	350986	354278	338972	303291	329742	286966	355145	463701
34154_7#178	289494	258376	294002	231790	741309	253910	256276	288066	294076	801702	262560	207510	256651	222285	284473	215951	261813	246302	290320	265818	389178	276613	275639	226800	309522	314680	273764	225504	247264	678156	308029	221233	218033	275610	219428	295620	320863	806459	322457	258815	279344	258906	215302	285611	242529	276025	202315	272077	230457	236648	274642	235886	204753	259077	259452	237751	277457	306353	823096	252949	203237	277679	275338	227386	271162	229975	253587	285088	257262	299384	220103	276677	241668	244851	231900	271398	232215	328942	233973	3345320	232322	233784	234712	302771	235797	221776	233148	233758	236809	233849	229312	731350	230075	285150	272548	278271	233250	282135	309580	277310	279487	306500	240071	255644	237202	284440	889460	239561	221103	248873	256753	265988	286246	300529	312537	300173	207189	238806	233129	299588	247494	3444725	353043	920015	236207	243597	260464	280946	246206	255988	221756	222220	247600	275366	223939	248341	281904	290503	3189739	719468	294836	201423	214166	742494	290369	287355	232787	307582	299541	237504	226436	295447	218793	266792	237257	322505	260851	233997	286172	819109	199387	219122	264007	274878	217888	270685	255739	216085	266503	257520	194802	253255	257131	257944	238393	245345	289553	314707	214480	224734	235703	11125	813384	174640	204929	137489	302667	184825	312001	238630	137272	257330	314737	264252	0	258577	219051	266499	218607	208503	818735	808518	300494	263778	204365	298790	256890	266288	256066	883516	314359	231321	688896	268387	114069	221510	244168	256101	299482	296439	267398	224509	249771	267049	185088	225104	232483	257937	162377	226639	314645	743087	241897	873033	220700	801182	195340	222657	318087	305521	216391	312621	331604	266529	303985	221773	274512	214993	284983	251766	273634	198151	284100	304024	295173	224059	261896	202651	223612	298338	312723	262425	260948	203384	194331	199688	321157	237701	215712	785950	237434	224068	256354	269817	288683	226903	222565	223481	273734	332009	226544	221854	314775	226599	190644	234406	220800	220078	309621	286032	271353	223082	260869	255149	271542	238159	242188	202741	299039	215806	235762	220653	201586	263834	285331	225139	254038	352932	235800	116069	208890	843342	12835	302213	262706	234520	299882	238057	256680	279070	213427	278881	232322	292248	218655	230819	265695	299856	222784	297031	889872	227423	296150	218626	284144	194682	220072	824630	274705	233180	251143	214866	274767	262651	219889	262469	251876	261225	303688	238444	252594	154121	261606	501724
34154_7#179	311920	265236	248350	290447	723207	303304	305019	271510	346223	777301	269700	240941	313082	249713	272907	242642	269994	285038	284862	308668	416771	330686	283665	316000	304391	280449	284251	277357	286533	672217	278722	268482	260389	320569	251056	286650	307644	793583	367206	259768	312283	245117	242588	329285	249541	284989	259347	308522	256790	276327	318522	291989	285168	259319	267835	307171	322189	270062	796234	290708	261170	321982	284011	334212	290174	264084	303780	289982	265259	267246	284089	283713	342604	344231	270929	283987	273561	368828	276245	3378831	273957	274525	275040	308838	276537	293317	274679	273052	275867	273943	272409	719140	270919	369391	364937	298048	272154	297536	327292	291257	293873	380451	309058	311245	309265	303324	904842	279230	278947	256920	258806	314758	301181	340887	302639	306320	262125	312680	306716	342197	318280	3478691	334771	900725	274875	309908	331864	293665	343418	353485	290056	309070	292790	305730	264621	278540	288204	303517	3198469	688575	333657	274414	276724	722416	304293	303173	276117	343326	291370	340384	269775	276292	255847	306900	270139	371201	268259	312888	312428	757542	312840	257766	271572	320696	257359	272975	294830	276744	277927	271413	300667	259674	271423	272196	244735	273852	270552	299168	276672	299316	308106	258387	773885	305877	305971	281721	269874	295398	273915	277152	277513	264273	298725	328496	258577	0	285950	321746	216888	289322	781533	771976	325722	269550	273261	365973	272423	313101	322317	882864	275966	291257	666372	276482	260373	326168	338824	270550	325336	320412	305424	276476	256762	268576	295730	278246	270355	272157	306832	265745	276094	752909	320054	865626	304458	764799	262660	276186	281212	273717	277747	273885	336310	304517	271300	274644	335977	258917	317997	343162	277600	310551	317420	271642	363156	276751	262277	282115	288797	324200	297307	273098	262279	269811	263841	262080	306102	298085	276644	820291	297517	289381	270722	240361	357522	230749	275810	278560	335813	365225	282331	303176	275670	265025	286693	313226	287341	286762	337080	312683	294167	275933	265215	361748	241616	322396	248695	293753	322621	256465	313857	274029	263408	264362	264365	276878	273218	326647	322098	261371	290168	819975	259732	326852	285438	313417	325761	298453	260739	264920	314796	264422	311702	309461	263887	321749	304823	324437	264046	321956	889497	279637	364611	256673	262776	301367	271542	785503	41196	312087	359311	254521	308881	251226	271932	249097	360313	320285	271522	245390	272734	280095	319979	549735
34154_7#18	291735	303853	245259	196374	658025	287267	259370	302671	298750	735191	308244	252414	235910	241493	262991	233711	262721	245677	263418	259361	342083	247461	323287	56954	319593	293418	322929	238882	245771	627920	296043	229753	231932	267610	263423	265445	317726	774412	322629	307958	294687	204910	236014	280624	263612	323930	210648	232785	264993	266639	277341	231108	258639	308059	304874	279045	268572	290303	765787	267892	212948	269321	322399	229881	329945	275813	213491	305322	309205	258518	187224	298016	249019	254052	246792	320588	249270	310616	251561	3299778	248564	249583	249781	348627	251362	271331	249588	248529	246400	250116	241645	713960	245083	319515	311036	253198	244577	330423	356078	326294	326989	274402	247020	208557	274862	331748	881762	252707	236920	248062	274205	272478	333610	295713	315683	272602	214409	275008	270103	295372	283168	3401090	341578	866618	247590	269726	262883	332980	252333	267340	262142	257947	230575	262170	235032	206380	301460	335789	3142391	655364	308667	218808	247007	679568	334580	335628	250657	266667	318965	247408	242520	273905	230024	262373	192023	290247	307139	245003	295716	775286	229199	237704	312152	265420	231090	289534	264593	232269	309267	212843	229249	300735	212378	213466	257929	203431	268607	244584	231758	258918	285644	219958	728125	194336	234253	205218	286874	149996	289723	244676	238508	306209	244111	331688	219051	285950	0	213997	203039	218768	775824	766317	285212	313023	252490	295031	212407	286004	207687	814009	291227	27350	649641	314825	213698	291771	280217	211058	284591	279281	262285	236477	269621	216203	150448	236676	244425	213489	265747	238973	294762	720975	251974	836805	261775	758600	249871	235543	298900	290245	232962	289499	328750	261058	289544	234520	305263	190392	295341	288564	321433	227775	295197	289391	236503	237055	311622	213152	15475	284423	244094	304869	311025	258094	246190	235347	251520	178005	231408	751713	177762	261036	211357	251073	260738	223893	236590	238032	318185	276441	188856	218557	291805	238954	207522	246142	10909	11872	293725	295066	334462	236385	307736	305594	252965	208043	260964	214750	281507	228298	247582	234189	238264	312218	264638	238627	216880	317779	206280	215561	219571	787513	221301	287848	326763	246397	285509	177930	302233	256778	233039	256422	244873	271820	233924	254240	261235	283000	237175	279607	854166	240524	237481	229977	261854	229513	179411	758615	300423	245521	302150	228131	289852	221628	179151	228098	303347	285382	288852	257442	214991	181667	286509	553493
34154_7#183	282401	271189	285113	200065	689346	277743	325073	290426	326857	733472	278688	259992	223233	260891	316318	254369	282994	270626	286297	242451	281588	289410	291201	243861	259646	271132	291762	288755	271173	698520	288845	302966	284842	253574	263448	273997	315644	762777	263507	292496	272693	256957	254839	266735	301108	291346	266377	235624	308912	292174	270163	164049	286331	293121	273664	274967	253180	286831	795184	255900	267022	255457	291122	259228	301616	282397	221848	339994	293148	304824	241541	331306	281404	284207	298374	315069	303791	353354	304761	3279630	302476	302660	303433	349309	305065	306844	302189	300342	300417	301804	294837	742054	299043	327024	319571	275462	298547	309007	330422	303938	305936	251543	310551	236526	321075	315100	891532	306518	293482	292213	301418	338837	306696	291958	329961	339937	270118	325818	320513	306351	336933	3380193	372854	861350	301838	346940	291351	329085	284516	298370	315187	322492	247413	338571	288725	227583	336459	309505	3098173	703409	325833	280638	260547	744446	318953	317389	304984	306366	316647	277496	296133	321669	281359	265866	203741	155704	274844	236632	265369	784040	251767	284121	280296	264217	282466	287994	311609	227955	317911	229958	289527	267684	229771	230066	246047	186118	316397	308831	227315	308401	332364	266965	761941	220109	299684	254669	257581	212946	263752	298421	293767	293370	308647	393500	266499	321746	213997	0	252999	260448	752646	743724	261882	298753	289758	245252	231305	277898	269111	776626	266091	228899	629642	282343	268904	349683	292998	228396	261416	300869	265746	285765	257507	274653	214226	286643	296658	230343	320185	291325	272607	720153	246366	857550	291147	735889	283675	285194	277359	261298	228207	263644	385167	264889	259750	285886	298446	253412	307623	291840	284191	250310	307093	259105	226020	287260	294853	251855	218325	260312	308643	313440	295137	292009	285688	254464	316630	205215	227890	762117	205055	326169	229166	304837	328823	262179	287921	287697	364929	285635	191822	242876	266405	291351	264219	236198	214892	215636	272209	265534	300613	285001	294102	308954	307147	235196	249433	272808	302678	214701	237715	283680	257260	296135	326462	287871	210951	331583	233980	270604	260168	811440	268643	264605	295383	237518	262299	205109	270005	311989	243352	311104	235511	337706	300176	244292	265426	305449	221821	300862	836849	289480	226688	282958	324736	290133	89661	769142	335313	235260	305796	280279	265159	216790	90430	295260	306548	270322	259474	246184	209334	253529	270746	648811
34154_7#184	297324	249334	221206	199940	648787	314245	222896	222515	287442	782017	252540	201435	270989	192886	236367	185695	238371	229680	222071	290227	336992	264256	265898	238714	286386	275060	265822	189994	230146	641101	294577	198581	179358	301293	211463	259833	269440	775833	323583	267077	291708	168167	187200	309159	249969	267031	166814	254775	230338	217744	260720	249878	250997	267098	251204	253277	301670	287923	805319	253163	169545	301964	266273	246469	273460	223475	218230	288435	268439	229873	202016	280528	255178	260337	190726	280646	193736	321385	197021	3352417	194868	194687	194456	308884	196214	246474	195457	193081	193287	193925	189387	695984	192872	317544	313378	214417	189728	272071	299908	265696	267555	271569	223892	203010	203670	277291	866030	199883	181438	77477	222600	233130	276094	315548	288950	254073	171119	224676	220560	286640	233210	3446666	312958	898065	196323	251648	251279	296416	256982	269102	192828	247258	236554	233950	184055	242994	283183	283788	3179559	642511	317611	211265	220393	692820	279510	279340	195695	270882	240757	255180	192129	230583	176127	312481	236202	304169	250185	268146	271478	756520	273174	170250	254320	262340	176746	274894	212663	240165	253610	255446	221361	243368	255888	256119	209809	208673	225137	238818	240332	209406	214526	219042	722281	214880	226313	207253	264364	173946	270004	196420	247622	269093	239255	278876	218607	216888	203039	252999	0	276222	787314	777988	322334	274377	232775	316232	255696	272969	245346	832419	272790	218682	664696	259443	228928	245850	302811	255005	321554	250710	310962	187788	221406	217069	174014	188840	189649	256583	275104	185511	275204	718822	273562	868692	236407	771200	226417	186146	279679	266579	241298	270303	297202	310589	265517	185261	295473	214012	307478	300759	263221	271277	307849	266217	282872	187509	272034	183934	207046	320883	237902	248330	270809	232416	228580	219356	246086	185683	239547	764450	184871	226550	254764	206852	259581	56710	187123	188951	261491	261322	195424	257736	273239	184362	190595	268991	204758	204496	328313	271437	277097	186833	270576	317897	208369	265790	214060	217575	252775	217451	270262	184954	221786	272329	235012	188870	178268	342453	264934	230598	276785	823813	221203	324339	272150	268606	322169	185539	245353	225347	237335	224473	268428	254680	200781	277654	311083	254354	225332	250804	858749	190778	284363	176907	232737	221758	206226	781854	231222	268121	315883	173931	288372	185207	206524	215170	316440	297000	265526	209691	177051	207881	297992	505671
34154_7#185	285523	295542	272818	229277	739726	276256	272780	338906	312852	809947	299864	239809	211070	251616	274238	244864	241149	270792	336776	275885	380723	292809	302320	247762	291931	281455	302668	244424	271667	708839	273686	232656	240927	283364	247446	300964	330471	816379	316287	292290	284568	287474	245984	294025	268737	303415	255918	254950	300525	264992	237535	241859	283567	294567	296932	286751	283316	279204	833762	270669	258006	283279	302073	250801	308566	250055	250966	309564	284084	276024	236321	302657	269705	272661	256162	298822	260969	339609	261781	3356332	259035	257128	257802	329182	262134	248296	258636	259125	260442	258508	252017	758104	255606	289759	280432	311483	257162	325270	348433	321692	323236	315660	247414	263399	300282	328028	931794	264200	280265	301850	297390	284555	325722	310946	318952	330822	258263	280742	274517	322376	292559	3455160	351642	907173	261493	313084	284578	305093	273246	287089	271873	280992	243418	316793	245456	253955	308373	331780	3193225	726096	297750	241851	276675	757875	322791	318147	261455	300657	354525	267067	251742	275018	238756	269163	234927	294316	287694	225665	305089	802936	65386	245198	303754	294900	238305	260971	260491	215082	296865	238211	245684	292516	238049	238812	250568	237028	281934	342706	214205	261116	294049	208835	801586	221052	238956	204084	277543	204839	274633	258656	216685	296822	343431	340165	208503	289322	218768	260448	276222	0	801159	791195	316448	274132	214160	294934	239789	274953	254027	890433	276958	226298	695073	309499	194756	290856	255074	237530	317159	297669	268802	237396	261588	309150	205509	237880	239854	238619	250217	247355	286640	765812	236505	846729	273866	784376	228464	237483	276731	282049	215478	275570	304405	267621	280187	239248	288564	213919	294266	264357	311868	63424	293489	279594	311364	237838	295532	239728	223808	315652	341350	290290	295293	236335	228953	260238	349757	236203	214868	766932	235984	255451	237725	283769	305499	281160	238145	241681	323873	347079	223963	262444	277021	247442	231798	225796	220199	220976	324606	305741	298931	238019	299400	281437	284854	246051	253873	246273	299292	251976	228778	235519	262450	296352	276872	240386	248553	372036	243799	197174	14761	853093	209409	319559	303994	226449	317622	236183	294090	272011	229712	271033	225088	349464	228592	234471	267086	300877	248004	298725	893093	241538	311828	238684	276388	246587	215997	817904	304573	224674	278141	235757	279618	291116	216801	283414	278546	304814	279197	250312	247055	206566	304505	541419
34154_7#189	830634	835136	812570	787113	766487	835520	860404	870759	875923	277705	841665	784890	777656	789675	848586	783754	772028	832039	862870	811014	854484	860789	855554	800260	854478	824069	855097	840690	832513	762121	846090	854861	822457	813119	783143	845337	872704	328230	811416	856974	825077	771845	783742	827820	811173	855736	844599	805982	840114	821014	858689	802973	870438	856031	839060	859643	813860	839367	340609	786621	846203	815345	856873	831762	866338	803878	807581	845993	858197	849550	827899	839737	850936	857180	838610	881968	845845	870708	848515	3173385	845575	845343	845367	910661	849981	843452	845021	843801	844427	845136	838293	802040	842868	903622	895540	843180	839693	876103	885152	869000	872834	852721	864684	823056	890099	882889	706362	852010	867288	827540	830694	879399	867434	853476	894523	859069	852010	880012	879198	884375	891608	3283090	929331	488524	847023	925363	847391	899367	856922	872204	880092	898028	832376	890323	831770	790985	847834	870392	2973864	794551	888217	858871	848693	790813	887791	883337	847312	867983	899174	853037	835084	850124	821421	828617	764888	790218	843357	827344	835616	205091	784005	825034	846240	845728	822031	866886	839788	750276	887166	788397	839228	835561	788303	788373	814541	776846	844584	833479	749362	865658	892015	819320	793992	807993	847413	813872	820290	781843	817386	841244	839624	856842	834821	938288	818735	781533	775824	752646	787314	801159	0	66292	768146	866510	817014	821823	791627	821860	843848	813571	818996	776335	320701	849969	816624	911560	870185	787962	767399	862879	829402	843031	820284	845746	782142	840471	835552	789095	872896	830830	822057	777191	834500	557149	833921	63644	816779	840998	826440	823702	749695	817213	896801	828464	821185	839850	885874	789085	868114	866743	850974	784198	867785	821110	785688	841925	859770	796514	779130	766044	833359	882547	859288	822425	819184	841754	840097	795133	750134	905853	795224	881611	787887	846881	885495	791777	841376	842531	922924	861857	780525	822716	818837	831260	818687	826781	776498	776881	782134	836858	869334	840750	857676	885162	847176	818345	817387	831898	863958	804355	828842	840129	843644	859252	854486	842000	777287	695345	815596	817437	801616	348353	820413	770218	863652	828295	768474	795181	834838	846378	828866	846098	827856	904050	855559	837248	827914	866986	811318	862994	544389	842770	786887	821753	852887	839529	755769	223674	785474	826306	884531	820960	819612	764681	756343	839208	883762	839564	820661	815687	776272	825656	839663	1186195
34154_7#19	821068	826183	802942	777841	761039	826265	850255	861385	866467	276270	832539	775313	768915	779788	839513	773778	763308	822109	853142	801698	845887	850836	846235	791178	845568	815187	846007	831128	822812	755010	837557	845380	813238	803468	774088	835986	863161	325043	802620	847905	815775	762974	774132	818680	801806	846854	834880	796920	830629	811605	849685	794400	860830	846960	830049	850451	804281	830599	336808	777469	836690	805972	847530	822474	857368	794762	798198	836349	849192	840018	818985	829944	841728	847852	829157	872335	836082	860885	838415	3178336	835648	835490	835944	901815	840109	833587	835127	833970	834694	835850	828774	796826	832648	894760	886683	833548	830119	866707	875761	860328	863670	843449	854776	813520	879680	873997	703300	842123	857463	817760	820817	869392	858425	844323	884909	849892	842053	870214	869217	874518	881375	3288975	919141	483176	837292	915720	837520	890056	847770	862963	869572	887980	822192	879821	822052	781037	838191	860991	2980622	787469	878549	848856	839148	783678	878642	874624	837491	857680	889531	843781	825265	841090	811538	818575	754691	781195	834202	817590	826486	203996	775332	815079	837250	835363	812445	857846	829952	740748	878214	778763	829304	826542	778368	778514	804714	767969	835419	824212	739606	855108	881775	809405	790550	798453	837618	804542	811515	771867	808455	831455	829922	848026	825061	928437	808518	771976	766317	743724	777988	791195	66292	0	759148	857360	807407	813201	781925	812119	833962	809505	810093	767421	315367	841302	807205	900862	860821	778170	758964	853290	819885	832720	810484	835992	772325	829917	825670	779180	863352	820682	812937	771788	824404	554669	824577	60873	806555	831011	817134	814771	740283	808077	887362	818669	811994	829553	876496	779112	858583	857336	842016	775019	858538	812501	776175	831393	850189	786718	769491	757448	823561	873107	850214	812673	809838	832072	830589	785042	740483	901995	785617	870962	778198	837611	875727	782447	831167	832288	912286	852387	771256	813360	809979	821482	808446	817242	766916	767097	773299	827594	860364	830412	848746	875551	838071	808988	807562	822293	854354	794424	819486	829648	833758	850361	844855	831793	768036	687169	806614	807922	792132	345180	810476	761681	854873	818868	759850	785335	825869	836961	819301	836894	817866	893459	845198	827651	818155	857472	801899	853582	542835	832605	777027	812120	843658	829818	746788	221851	775833	816422	875099	811218	810010	755477	747429	829836	874129	830668	811491	805673	766779	816550	830198	1176138
